variable_name	status	valores	n_nas
p5_6	no_modificada	min=1.0, max=8.0, únicos=8	13293
p5_7	no_modificada	(1, 2, 9)	0
p5_8	no_modificada	min=0.0, max=99.0, únicos=10	4853
p5_9_1	modificada	(0.0, 1.0)	4853
p5_9_2	no_modificada	min=1.0, max=8.0, únicos=8	18836
p5_10_1	modificada	(0, 1)	0
p5_10_2	no_modificada	min=1.0, max=15.0, únicos=10	16035
p5_11	modificada	(0, 1)	0
filtro_s5_2	modificada	(0, 1)	0
p5_12	no_modificada	(1.0, 2.0, 9.0)	6398
filtro_s5_3	modificada	(0, 1)	0
p5_13	no_modificada	(1.0, 2.0, 3.0)	15190
p5_14	no_modificada	min=1, max=9, únicos=9	0
p5_15	no_modificada	min=1.0, max=6.0, únicos=6	20167
p5_16	no_modificada	min=1.0, max=7.0, únicos=7	13598
p5_17	no_modificada	min=1.0, max=6.0, únicos=6	6108
p5_18_1	no_modificada	(1.0, 2.0, 9.0)	10885
p5_18_2	no_modificada	(1.0, 2.0, 9.0)	10885
p5_18_3	no_modificada	(1.0, 2.0, 9.0)	10885
p5_18_4	no_modificada	(1.0, 2.0, 9.0)	10885
p5_18_5	no_modificada	(1.0, 2.0, 9.0)	10885
p5_18_6	no_modificada	(1.0, 2.0, 9.0)	10885
p5_18_7	no_modificada	(1.0, 2.0, 9.0)	10885
p5_19	no_modificada	min=0.0, max=99999.0, únicos=392	6108
p5_19a	no_modificada	(1.0, 2.0, 3.0, 4.0)	7130
p5_20	modificada	(0.0, 1.0)	7130
filtro_s5_3_1	modificada	(0.0, 1.0)	1022
p5_21	no_modificada	min=0, max=99999, únicos=291	0
p5_22	no_modificada	min=200, max=999999, únicos=220	0
filtro_s5_4	modificada	(0, 1)	0
p5_23_1	no_modificada	(0.0, 1.0)	14741
p5_23_2	no_modificada	(0.0, 1.0)	14741
p5_23_3	no_modificada	(0.0, 1.0)	14741
p5_23_4	no_modificada	(0.0, 1.0)	14741
p5_23_5	no_modificada	(0.0, 1.0)	14741
p5_23_6	no_modificada	(0.0, 1.0)	14741
p5_23_7	no_modificada	(0.0, 1.0)	14741
p5_23_8	no_modificada	(0.0, 1.0)	14741
p5_23_9	no_modificada	(0.0, 1.0)	14741
p6_1_1	modificada	(0, 1)	0
p6_1_2	modificada	(0, 1)	0
p6_1_3	modificada	(0, 1)	0
p6_1_4	modificada	(0, 1)	0
p6_1_5	modificada	(0, 1)	0
p6_1_6	modificada	(0, 1)	0
p6_2_01	modificada	(0, 1)	0
p6_2_02	modificada	(0, 1)	0
p6_2_03	modificada	(0, 1)	0
p6_2_04	modificada	(0, 1)	0
p6_2_05	modificada	(0, 1)	0
p6_2_06	modificada	(0, 1)	0
p6_2_07	modificada	(0, 1)	0
p6_2_08	modificada	(0, 1)	0
p6_2_09	modificada	(0, 1)	0
p6_2_10	modificada	(0, 1)	0
p6_3	modificada	(0.0, 1.0)	7994
filtro_s6_1	modificada	(0, 1)	0
p6_4	no_modificada	min=1.0, max=9.0, únicos=6	9716
p6_5_1	modificada	(0, 1)	0
p6_5_2	modificada	(0, 1)	0
p6_5_3	modificada	(0, 1)	0
p6_5_4	modificada	(0, 1)	0
p6_5_5	modificada	(0, 1)	0
p6_6_1	modificada	(0, 1)	0
p6_6_2	modificada	(0, 1)	0
p6_6_3	modificada	(0, 1)	0
p6_6_4	modificada	(0, 1)	0
p6_6_5	modificada	(0, 1)	0
p6_6_6	modificada	(0, 1)	0
p6_6_7	modificada	(0, 1)	0
p6_6_8	modificada	(0, 1)	0
p6_6_9	modificada	(0, 1)	0
filtro_s6_2	modificada	(0, 1)	0
p6_7	modificada	(0.0, 1.0)	11399
p6_8	no_modificada	min=1.0, max=9.0, únicos=6	11399
p6_9	modificada	(0, 1)	0
p6_10_1	modificada	(0.0, 1.0)	14224
p6_10_2	modificada	(0.0, 1.0)	14224
p6_10_3	modificada	(0.0, 1.0)	14224
p6_10_4	modificada	(0.0, 1.0)	14224
p6_10_5	modificada	(0.0, 1.0)	14224
p6_10_6	modificada	(0.0, 1.0)	14224
p6_10_7	modificada	(0.0, 1.0)	14224
p6_10_8	modificada	(0.0, 1.0)	14224
p6_11_1	modificada	(0.0, 1.0)	6224
p6_11_2	modificada	(0.0, 1.0)	6224
p6_11_3	modificada	(0.0, 1.0)	6224
p6_11_4	modificada	(0.0, 1.0)	6224
p6_11_5	modificada	(0.0, 1.0)	6224
p6_12	no_modificada	min=0, max=99999999, únicos=166	0
p6_13	no_modificada	min=0, max=999999, únicos=159	0
p7_1	modificada	(0, 1)	0
p7_2_1	modificada	(0, 1)	0
p7_2_2	modificada	(0, 1)	0
p7_2_3	modificada	(0, 1)	0
p7_2_4	modificada	(0, 1)	0
p7_3	modificada	(0.0, 1.0)	12226
p7_4	no_modificada	min=0.0, max=10.0, únicos=11	13564
p7_5_1	no_modificada	(0.0, 1.0)	8222
p7_5_2	no_modificada	(0.0, 1.0)	8222
p7_5_3	no_modificada	(0.0, 1.0)	8222
p7_5_4	no_modificada	(0.0, 1.0)	8222
p7_5_5	no_modificada	(0.0, 1.0)	8222
p7_5_6	no_modificada	(0.0, 1.0)	8222
p7_6_1	modificada	(0, 1)	0
p7_6_2	modificada	(0, 1)	0
p7_6_3	modificada	(0, 1)	0
p7_6_4	modificada	(0, 1)	0
p7_6_5	modificada	(0, 1)	0
p7_6_6	modificada	(0, 1)	0
p7_6_7	modificada	(0, 1)	0
p7_6_8	modificada	(0, 1)	0
p7_7_1	no_modificada	(1, 2, 3, 4, 5)	0
p7_7_2	no_modificada	(1, 2, 3, 4, 5)	0
p7_7_3	no_modificada	(1, 2, 3, 4, 5)	0
p7_7_4	no_modificada	(1, 2, 3, 4, 5)	0
p7_7_5	no_modificada	(1, 2, 3, 4, 5)	0
p7_7_6	no_modificada	(1, 2, 3, 4, 5)	0
p7_8_1	no_modificada	(1, 2, 3, 4, 5)	0
p7_8_2	no_modificada	(1, 2, 3, 4, 5)	0
p7_8_3	no_modificada	(1, 2, 3, 4, 5)	0
p7_8_4	no_modificada	(1, 2, 3, 4, 5)	0
p7_8_5	no_modificada	(1, 2, 3, 4, 5)	0
p7_8_6	no_modificada	(1, 2, 3, 4, 5)	0
p7_9_1	no_modificada	(1, 2, 3, 4)	0
p7_9_2	no_modificada	(1, 2, 3, 4)	0
p7_9_3	no_modificada	(1, 2, 3, 4)	0
p7_10_01	no_modificada	(1, 2, 3, 4)	0
p7_10_02	no_modificada	(1, 2, 3, 4)	0
p7_10_03	no_modificada	(1, 2, 3, 4)	0
p7_10_04	no_modificada	(1, 2, 3, 4)	0
p7_10_05	no_modificada	(1, 2, 3, 4)	0
p7_10_06	no_modificada	(1, 2, 3, 4)	0
p7_10_07	no_modificada	(1, 2, 3, 4)	0
p7_10_08	no_modificada	(1, 2, 3, 4)	0
p7_10_09	no_modificada	(1, 2, 3, 4)	0
p7_10_10	no_modificada	(1, 2, 3, 4)	0
p7_10_11	no_modificada	(1, 2, 3, 4)	0
p7_10_12	no_modificada	(1, 2, 3, 4)	0
p7_11_1	no_modificada	(1, 2, 3, 4, 5)	0
p7_11_2	no_modificada	(1, 2, 3, 4, 5)	0
p7_11_3	no_modificada	(1, 2, 3, 4, 5)	0
p7_11_4	no_modificada	(1, 2, 3, 4, 5)	0
p7_12_1	no_modificada	(1, 2, 3)	0
p7_12_2	no_modificada	(1, 2, 3)	0
p7_12_3	no_modificada	(1, 2, 3)	0
